year,na_number,na_value,na_name,winner,winner_party,runnerup,runnerup_party,victory_margin,turn_out,winner_party_cat,runnerup_party_cat,streak3_flag,streak2_flag
2013,NA-247,247,NA-247 (KARACHI-IX),Sufyan Yousuf,Muttahidda Qaumi Movement,Rashid Siddiqui,Pakistan Tehreek-e-Insaf,53.78508211,57.24,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-248,248,NA-248 (KARACHI-X),ShahJahan Baloch,Pakistan Peoples Party Parliamentarians,Subhan Ali Sahil,Pakistan Tehreek-e-Insaf,43.42588446,46.04,Pakistan Peoples Party Parliamentarians,Pakistan Tehreek-e-Insaf,1,0
2013,NA-249,249,NA-249 (KARACHI-XI),Dr. Muhammad Farooq Sattar,Muttahidda Qaumi Movement,Abdul Aziz Memon,Pakistan Peoples Party Parliamentarians,23.1380215,60.9,Muttahidda Qaumi Movement,Pakistan Peoples Party Parliamentarians,1,0
2013,NA-250,250,NA-250 (KARACHI-XII),Arif ur Rehman Alvi,Pakistan Tehreek-e-Insaf,Khushbakht Shujat,Muttahidda Qaumi Movement,38.55794834,35.48,Pakistan Tehreek-e-Insaf,Muttahidda Qaumi Movement,0,0
2013,NA-251,251,NA-251 (KARACHI-XIII),Syed Ali Raza Abidi,Muttahidda Qaumi Movement,Raja Azhar Khan,Pakistan Tehreek-e-Insaf,24.5295259,49.53,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-252,252,NA-252 (KARACHI-XIV),Adbul Rashid Godil,Muttahidda Qaumi Movement,Syed Ali Haider Zaidi,Pakistan Tehreek-e-Insaf,25.00449538,53.43,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,0,1
2013,NA-253,253,NA-253 (KARACHI-XV),Muhammad Muzammil Qureshi,Muttahidda Qaumi Movement,Muhammad Ashraf Jabbar Qureshi,Pakistan Tehreek-e-Insaf,20.24474431,39.33,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,0,1
2013,NA-254,254,NA-254 (KARACHI-XVI),Muhammad Ali Rashid,Muttahidda Qaumi Movement,Muhammad Naem,Pakistan Tehreek-e-Insaf,74.45331482,17,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-255,255,NA-255 (KARACHI-XVII),Syed Asif Hasnain,Muttahidda Qaumi Movement,Khalid Mehmood Ali,Pakistan Tehreek-e-Insaf,66.41496897,0.515,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,0,0
2013,NA-256,256,NA-256 (KARACHI-XVIII),Iqbal Muhammad Ali Khan,Muttahidda Qaumi Movement,Muhammad Zubair Khan,Pakistan Tehreek-e-Insaf,33.64887459,54.23,Muttahidda Qaumi Movement,Pakistan Tehreek-e-Insaf,1,0
2013,NA-257,257,NA-257 (KARACHI-XIX),Sajid Ahmed,Muttahidda Qaumi Movement,Farooq Khan,Independent,52.71388811,52.9,Muttahidda Qaumi Movement,Independent,1,0
2013,NA-258,258,NA-258 (KARACHI-XX),Abdul Hakeem Baloch,Pakistan Muslim League (N),Abdul Razzaq Raja,Pakistan Peoples Party Parliamentarians,9.584955437,44.58,Pakistan Muslim League (N),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-259,259,NA-259 (QUETTA),Mehmood Khan Achakzai,Pukhtoonkhwa Milli Awami Party,Muhammad Qasim Khan Suri,Pakistan Tehreek-e-Insaf,20.91896857,41.58,Other,Pakistan Tehreek-e-Insaf,0,0
2013,NA-260,260,NA-260 (Quetta-cum-Chagai-cum-Nushki-cum-Mastung),Abdul Rahim Mandokhail,Pukhtoonkhwa Milli Awami Party,Haji Manzoor Ahmed Mengal,Jamiat Ulama-e-Islam (F),2.552057482,41.01,Other,Jamiat Ulama-e-Islam (F),0,0
2013,NA-261,261,NA-261 (Pishin-cum-Ziarat),Moulvi Agha Muhammad,Jamiat Ulama-e-Islam (F),Muhammad Essa Roshan,Pukhtoonkhwa Milli Awami Party,0.401474115,54.17,Jamiat Ulama-e-Islam (F),Other,0,0
2013,NA-262,262,NA-262 (Killa Abdullah),Abdul Qadir Khan Wadan,Pukhtoonkhwa Milli Awami Party,Qari Muhammad Shair Ali,Jamiat Ulama-e-Islam (F),28.15485482,35.2,Other,Jamiat Ulama-e-Islam (F),0,0
2013,NA-263,263,NA-263 (Loralai-cum-Musakhel-cum-Barkhan),Molana Ameer Zaman,Jamiat Ulama-e-Islam (F),Sardar Muhammad Yaqoob Khan Nasir,Pakistan Muslim League (N),7.49341867,51.06,Jamiat Ulama-e-Islam (F),Pakistan Muslim League (N),0,0
2013,NA-264,264,NA-264 (Zhob-cum-Sherani-cum- Killa Saifullah),Moulana Mohammad Khan Sherani,Jamiat Ulama-e-Islam (F),Moulana Asmatullah,Jamiat Ulama-e-Islam Nazryati Pakistan,3.688691163,45.04,Jamiat Ulama-e-Islam (F),Other,0,0
2013,NA-265,265,NA-265 (Sibi-cum-Kohlu-cum-Dera Bugti- cum-Harani),Mir Dostain Khan Domki,Independent,Ahmed Jan Khan,Pukhtoonkhwa Milli Awami Party,11.99464492,42.47,Independent,Other,0,0
2013,NA-266,266,NA-266 (Nasirabad-cum- Jaffarabad),Zafarullah Khan Jamali,Independent,Mir Saleem Ahmed Khosa,Independent,4.321028613,39.35,Independent,Independent,0,0
2013,NA-267,267,NA-267 (Kachhi-cum-Jhal Magsi),Khalid Hussain Magsi,Independent,Abdul Raheem Rind,Independent,3.778237353,61.28,Independent,Independent,0,1
2013,NA-268,268,NA-268 (Kalat-cum-Mastung),Sardar Kamal Khan Bangulzai,National Party,Molana Abdul Ghafoor Haideri,Jamiat Ulama-e-Islam (F),14.82176968,34.78,Other,Jamiat Ulama-e-Islam (F),0,0
2013,NA-269,269,NA-269 (Khuzdar),Molana Qamar Din,Jamiat Ulama-e-Islam (F),Mir Abdul Rauf Mengal,Balochistan National Party,0.086516804,42.6,Jamiat Ulama-e-Islam (F),Other,0,0
2013,NA-270,270,NA-270 (Awaran-cum-Lasbela),Jam Kamal Khan,Independent,Ghulam Akbar Lasi,Pakistan Peoples Party Parliamentarians,21.5463804,43.78,Independent,Pakistan Peoples Party Parliamentarians,0,0
2013,NA-271,271,NA-271 (Kharan-cum-Washuk-cum-Panjgur),Lt.Gen R Abdul Qadir Baloch,Pakistan Muslim League (N),Ehsanullah Reki,Pakistan Peoples Party Parliamentarians,4.290545301,19.06,Pakistan Muslim League (N),Pakistan Peoples Party Parliamentarians,0,0
2013,NA-272,272,NA-272 (Kech-cum-Gwadar),Sayed Essa Nori,Balochistan National Party,mmad Yasin Baloch,National Party,1.248106197,29.56,Other,Other,0,0
