"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-111","111","?NA-111 Sialkot-II","Ch. Amir Hussain","Pakistan Muslim League (Q)","Mr.Idrees Ahmed Bajwa","Pakistan Muslim League (N)","1.1","44.91076456","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-112","112","?NA-112 Sialkot-III","Mr.Umar Ahmad Ghuman","Pakistan Muslim League (Q)","Mr.Sahibzada Syed Murtaza Amin","Pakistan Muslim League (N)","17.1","49.02490055","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-113","113","?NA-113 Sialkot-IV","Mr.Ali Asjad Malhi","Pakistan Muslim League (Q)","Col ВЁ Sultan Sikandar Ghuman","Pakistan Peoples Party Parliamentarians","3.3","42.64886652","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-114","114","?NA-114 Sialkot-V","Mr.Zahid Hamid Khan","Pakistan Muslim League (Q)","Mr.Ghulam Abbas","Pakistan Peoples Party Parliamentarians","5.4","47.66800291","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-115","115","?NA-115 Narowal-I","Mr.Muhammad Nasir Khan","Pakistan Muslim League (Q)","Sumaira Yasser Rasheed","Independent","4.6","44.14618125","Pakistan Muslim League (Q)","Independent"
2002,"NA-116","116","?NA-116 Narowal-II","Mr.Daniyal Aziz Chaudhry","Pakistan Muslim League (Q)","Mr.Muhammad Tariq Anees","Independent","4.2","42.39101617","Pakistan Muslim League (Q)","Independent"
2002,"NA-117","117","?NA-117 Narowal-III","Riffat Javed","Pakistan Muslim League (Q)","Mr.Ahsan Iqbal","Pakistan Muslim League (N)","14.9","46.21882826","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-125","125","NA-125 Lahore-VIII","Mr.Hamayun Akhtar Khan","Pakistan Muslim League (Q)","Mr.Muhammad Akram Zaki","Pakistan Muslim League (N)","1.6","30.04664862","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-129","129","NA-129 Lahore-XII","Major ВЁ Habibullah Waraich","Pakistan Muslim League (Q)","Sardar Arif Rashid","Pakistan Muslim League (N)","23.8","38.28676783","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-131","131","NA-131 Sheikhupura-I","Brig ВЁ Zulfiqar Ahmad Dhillon","Pakistan Muslim League (Q)","Rana Tanveer Hussain","Pakistan Muslim League (N)","5.7","42.15097535","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-133","133","NA-133 Sheikhupura-III","Mr.Muhammad Saeed Virk","Pakistan Muslim League (Q)","Mian Muhammad Munawar Latif.","Pakistan Muslim League (N)","5.7","39.65086308","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-135","135","NA-135 Sheiklhupura-V","Mian Shamim Haider","Pakistan Muslim League (Q)","Mian Mushtaq Hussain Dogar","Pakistan Peoples Party Parliamentarians","8.1","48.81270431","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-136","136","NA-136 Sheikhupura-VI","Mr.Bilal Ahmad Virk","Pakistan Muslim League (Q)","Syed Muhammmad Akbar Shah","Pakistan Peoples Party Parliamentarians","18.4","46.40270365","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
